time_ticks,throughput_ticks
10.025960,0.008400
10.026960,0.016800
10.027128,0.025200
10.027296,0.033600
10.027464,0.042000
10.028464,0.050400
10.028632,0.058800
10.028800,0.067200
10.028968,0.075600
10.029968,0.084000
10.030136,0.092400
10.030304,0.100800
10.030472,0.109200
10.031472,0.117600
10.031640,0.126000
10.031808,0.134400
10.031976,0.142800
10.032976,0.151200
10.033144,0.159600
10.033312,0.168000
10.033480,0.176400
10.034480,0.184800
10.034648,0.193200
10.034816,0.201600
10.034984,0.210000
10.035984,0.218400
10.036152,0.226800
10.036320,0.235200
10.036488,0.243600
10.037488,0.252000
10.037656,0.260400
10.037824,0.268800
10.037992,0.277200
10.038992,0.285600
10.039160,0.294000
10.039328,0.302400
10.039496,0.310800
10.040496,0.319200
10.040664,0.327600
10.040832,0.336000
10.041000,0.344400
10.042000,0.352800
10.042168,0.361200
10.042336,0.369600
10.042504,0.378000
10.043504,0.386400
10.043672,0.394800
10.043840,0.403200
10.044008,0.411600
10.045008,0.420000
10.045176,0.428400
10.045344,0.436800
10.045512,0.445200
10.046512,0.453600
10.046680,0.462000
10.046848,0.470400
10.047016,0.478800
10.048016,0.487200
10.048184,0.495600
10.048352,0.504000
10.048520,0.512400
10.049520,0.520800
10.049688,0.529200
10.049856,0.537600
10.050024,0.546000
10.051024,0.554400
10.051192,0.562800
10.051360,0.571200
10.051528,0.579600
10.052528,0.588000
10.052696,0.596400
10.052864,0.604800
10.053032,0.613200
10.054032,0.621600
10.054200,0.630000
10.054368,0.638400
10.054536,0.646800
10.055536,0.655200
10.055704,0.663600
10.055872,0.672000
10.056040,0.680400
10.057040,0.688800
10.057208,0.697200
10.057376,0.705600
10.059208,0.714000
10.060208,0.722400
10.060376,0.730800
10.060544,0.739200
10.060712,0.747600
10.060880,0.756000
10.061880,0.764400
10.062048,0.772800
10.062216,0.781200
10.062384,0.789600
10.063384,0.798000
10.064384,0.806400
10.065384,0.814800
10.065552,0.823200
10.065720,0.831600
10.065888,0.840000
10.067720,0.848400
10.067888,0.856800
10.068056,0.865200
10.068224,0.873600
10.068392,0.882000
10.069392,0.890400
10.069560,0.898800
10.069728,0.907200
10.069896,0.915600
10.070064,0.924000
10.071064,0.932400
10.071232,0.940800
10.071400,0.949200
10.071568,0.957600
10.071736,0.966000
10.072736,0.974400
10.072904,0.982800
10.073072,0.991200
10.073240,0.999600
10.073408,1.008000
10.074408,1.016400
10.074576,1.024800
10.074744,1.033200
10.074912,1.041600
10.075080,1.050000
10.076080,1.058400
10.076248,1.066800
10.076416,1.075200
10.076584,1.083600
10.076752,1.092000
10.077752,1.100400
10.078752,1.108800
10.078920,1.117200
10.079920,1.125600
10.080920,1.134000
10.082752,1.142400
10.084584,1.150800
10.084752,1.159200
10.084920,1.167600
10.085920,1.176000
10.093576,1.184400
10.093744,1.192800
10.093912,1.201200
10.094080,1.209600
10.095080,1.218000
10.095248,1.226400
10.095416,1.234800
10.095584,1.243200
10.095752,1.251600
10.096752,1.260000
10.096920,1.268400
