time_ticks,throughput_ticks
10.032776,0.008400
10.032944,0.016800
10.033944,0.025200
10.034112,0.033600
10.034280,0.042000
10.034448,0.050400
10.035448,0.058800
10.035616,0.067200
10.035784,0.075600
10.035952,0.084000
10.036952,0.092400
10.037120,0.100800
10.037288,0.109200
10.037456,0.117600
10.038456,0.126000
10.038624,0.134400
10.038792,0.142800
10.038960,0.151200
10.039960,0.159600
10.040128,0.168000
10.040296,0.176400
10.040464,0.184800
10.041464,0.193200
10.041632,0.201600
10.041800,0.210000
10.041968,0.218400
10.042968,0.226800
10.043136,0.235200
10.043304,0.243600
10.043472,0.252000
10.044472,0.260400
10.044640,0.268800
10.044808,0.277200
10.045808,0.285600
10.045976,0.294000
10.046144,0.302400
10.046312,0.310800
10.047312,0.319200
10.047480,0.327600
10.047648,0.336000
10.047816,0.344400
10.047984,0.352800
10.048152,0.361200
10.048320,0.369600
10.048488,0.378000
10.048656,0.386400
10.048824,0.394800
10.048992,0.403200
10.049160,0.411600
10.049328,0.420000
10.049496,0.428400
10.049664,0.436800
10.049832,0.445200
10.050000,0.453600
10.050168,0.462000
10.050336,0.470400
10.050504,0.478800
10.050672,0.487200
10.050840,0.495600
10.051008,0.504000
10.051176,0.512400
10.051344,0.520800
10.051512,0.529200
10.051680,0.537600
10.051848,0.546000
10.052016,0.554400
10.052184,0.562800
10.052352,0.571200
10.052520,0.579600
10.052688,0.588000
10.052856,0.596400
10.053024,0.604800
10.053192,0.613200
10.053360,0.621600
10.053528,0.630000
10.053696,0.638400
10.053864,0.646800
10.054032,0.655200
10.054200,0.663600
10.054368,0.672000
10.054536,0.680400
10.054704,0.688800
10.054872,0.697200
10.055040,0.705600
10.055208,0.714000
10.055376,0.722400
10.055544,0.730800
10.055712,0.739200
10.055880,0.747600
10.056048,0.756000
10.056216,0.764400
10.056384,0.772800
10.056552,0.781200
10.056720,0.789600
10.056888,0.798000
10.057056,0.806400
10.057224,0.814800
10.057392,0.823200
10.057560,0.831600
10.057728,0.840000
10.057896,0.848400
10.058064,0.856800
10.058232,0.865200
10.058400,0.873600
10.058568,0.882000
10.058736,0.890400
10.058904,0.898800
10.059072,0.907200
10.059240,0.915600
10.059408,0.924000
10.059576,0.932400
10.059744,0.940800
10.059912,0.949200
10.060080,0.957600
10.060248,0.966000
10.060416,0.974400
10.060584,0.982800
10.060752,0.991200
10.060920,0.999600
10.061088,1.008000
10.061256,1.016400
10.061424,1.024800
10.061592,1.033200
10.061760,1.041600
10.061928,1.050000
10.062096,1.058400
10.062264,1.066800
10.062432,1.075200
10.062600,1.083600
10.062768,1.092000
10.062936,1.100400
10.063104,1.108800
10.063272,1.117200
10.063440,1.125600
10.063608,1.134000
10.063776,1.142400
10.063944,1.150800
10.064112,1.159200
10.064280,1.167600
10.064448,1.176000
10.064616,1.184400
10.064784,1.192800
10.064952,1.201200
10.065120,1.209600
10.065288,1.218000
10.065456,1.226400
10.065624,1.234800
10.065792,1.243200
10.065960,1.251600
10.066128,1.260000
10.066296,1.268400
10.066464,1.276800
10.066632,1.285200
10.066800,1.293600
10.066968,1.302000
10.067136,1.310400
10.067304,1.318800
10.067472,1.327200
10.067640,1.335600
10.067808,1.344000
10.067976,1.352400
10.068144,1.360800
10.068312,1.369200
10.068480,1.377600
10.068648,1.386000
10.068816,1.394400
10.068984,1.402800
10.069152,1.411200
10.069320,1.419600
10.069488,1.428000
10.069656,1.436400
10.069824,1.444800
10.069992,1.453200
10.070160,1.461600
10.070328,1.470000
10.070496,1.478400
10.070664,1.486800
10.070832,1.495200
10.071000,1.503600
10.071168,1.512000
10.071336,1.520400
10.071504,1.528800
10.071672,1.537200
10.071840,1.545600
10.072008,1.554000
10.072176,1.562400
10.072344,1.570800
10.072512,1.579200
10.072680,1.587600
10.072848,1.596000
10.073016,1.604400
10.073184,1.612800
10.073352,1.621200
10.073520,1.629600
10.073688,1.638000
10.073856,1.646400
10.074024,1.654800
10.074192,1.663200
10.074360,1.671600
10.074528,1.680000
10.074696,1.688400
10.074864,1.696800
10.075032,1.705200
10.075200,1.713600
10.075368,1.722000
10.075536,1.730400
10.075704,1.738800
10.075872,1.747200
10.076040,1.755600
10.076208,1.764000
10.076376,1.772400
10.076544,1.780800
10.076712,1.789200
10.076880,1.797600
10.077048,1.806000
10.077216,1.814400
10.077384,1.822800
10.077552,1.831200
10.078552,1.839600
10.078720,1.848000
10.078888,1.856400
10.079056,1.864800
10.080056,1.873200
10.080224,1.881600
10.080392,1.890000
10.080560,1.898400
10.081560,1.906800
10.081728,1.915200
10.081896,1.923600
10.082064,1.932000
10.083064,1.940400
10.083232,1.948800
10.083400,1.957200
10.083568,1.965600
10.084568,1.974000
10.084736,1.982400
10.084904,1.990800
10.085072,1.999200
10.086072,2.007600
10.086240,2.016000
10.086408,2.024400
10.086576,2.032800
10.087576,2.041200
10.087744,2.049600
10.087912,2.058000
10.088080,2.066400
10.089080,2.074800
10.089248,2.083200
10.089416,2.091600
10.089584,2.100000
10.089752,2.108400
10.089920,2.116800
10.090088,2.125200
10.090256,2.133600
10.090424,2.142000
10.090592,2.150400
10.090760,2.158800
10.090928,2.167200
10.091096,2.175600
10.091264,2.184000
10.091432,2.192400
10.091600,2.200800
10.091768,2.209200
10.091936,2.217600
10.092104,2.226000
10.092272,2.234400
10.092440,2.242800
10.092608,2.251200
10.092776,2.259600
10.092944,2.268000
10.093112,2.276400
10.093280,2.284800
10.093448,2.293200
10.093616,2.301600
10.093784,2.310000
10.093952,2.318400
10.094120,2.326800
10.094288,2.335200
10.094456,2.343600
10.094624,2.352000
10.094792,2.360400
10.094960,2.368800
10.095128,2.377200
10.095296,2.385600
10.095464,2.394000
10.095632,2.402400
10.095800,2.410800
10.095968,2.419200
10.096136,2.427600
10.096304,2.436000
10.096472,2.444400
10.096640,2.452800
10.096808,2.461200
